posicion,ciudad,prefectura,poblacion
1,Tokio,Tokio,13 185 502
2,Yokohama,Kanagawa,3 689 603
3,Osaka,Osaka,2 668 371
4,Nagoya,Aichi,2 263 907
5,Sapporo,Hokkaidō,1 914 434
6,Kōbe,Hyōgo,1 544 873
7,Kioto,Kioto,1 474 473
8,Fukuoka,Fukuoka,1 463 826
9,Kawasaki,Kanagawa,1 425 678
10,Saitama,Saitama,1 222 910
11,Hiroshima,Hiroshima,1 174 209
12,Sendai,Miyagi,1 045 903
13,Kitakyushu,Fukuoka,977 288
14,Chiba,Chiba,962 130
15,Sakai,Osaka,842 134
16,Niigata,Niigata,812 192
17,Hamamatsu,Shizuoka,800 912
18,Kumamoto,Kumamoto,737 294
19,Sagamihara,Kanagawa,717 561
20,Shizuoka,Shizuoka,716 328